DateTime,rain,temp_min,temp_max
1972-06-10,0,21.61,34.61
1972-06-11,9.212,21.73,34.84
1972-06-12,1.3988,20.9,33.6
1972-06-13,0,21.51,33.39
1972-06-14,14.6457,21.41,34.23
1972-06-15,17.3059,20.95,32.88
1972-06-16,2.5937,22.35,32.42
1972-06-17,17.5499,21.15,33.54
1972-06-18,10.005,20.94,32.49
1972-06-19,0,21.42,32.53
1972-06-20,0,21.37,31.3
1972-06-21,0.7928,21.19,30.73
1972-06-22,12.2735,21.25,31.7
1972-06-23,0.3482,20.53,30.31
1972-06-24,0,20.41,28.27
1972-06-25,0,20.54,29.5
1972-06-26,0.1981,20.74,28.96
1972-06-27,2.0894,20.62,29.16
1972-06-28,0,20.46,28.56
1972-06-29,2.0499,20.51,29.04
1972-06-30,0,20.69,28.61
1972-07-01,14.2079,20.29,27.89
1972-07-02,0,20.65,28.62
1972-07-03,2.2831,20.97,29.04
1972-07-04,0.4527,20.26,27.9
1972-07-05,0,20.74,27.49
1972-07-06,2.2467,21.15,27.82
1972-07-07,1.2603,21.16,28.9
1972-07-08,1.5488,20.31,26.37
1972-07-09,0,21.29,28.87
1972-07-10,0.1189,21.16,28.87
1972-07-11,0.8507,21.21,29.42
1972-07-12,0.3263,20.82,28.09
1972-07-13,0,20.87,30.38
1972-07-14,0,21.03,30.11
1972-07-15,13.6196,21.35,30.45
1972-07-16,1.2809,21.16,30.08
1972-07-17,4.4982,20.83,30.93
1972-07-18,1.1646,20.63,31.09
1972-07-19,2.7438,20.79,30.42
1972-07-20,2.8562,20.77,30.5
1972-07-21,3.713,20.27,30.31
1972-07-22,0,20.8,30.72
1972-07-23,0,20.14,30.6
1972-07-24,0.8359,20.63,31.28
1972-07-25,0.3357,20.27,30.87
1972-07-26,0,20.15,30.75
1972-07-27,0,20.54,30.4
1972-07-28,0.1873,19.8,30.63
1972-07-29,0.6203,19.71,31.24
1972-07-30,0.1477,20.1,31.27
1972-07-31,0,19.79,31.91
1972-08-01,1.2682,21.22,32.16
1972-08-02,6.2463,21.2,31.4
1972-08-03,0,20.67,31.22
1972-08-04,0.1585,21.14,31.73
1972-08-05,0,20.94,30.88
1972-08-06,0,20.81,31.52
1972-08-07,0.204,20.84,31.36
1972-08-08,10.7827,20.76,31.48
1972-08-09,0.2152,21.02,31.92
1972-08-10,8.7611,20.16,31.5
1972-08-11,0,20.22,31.3
1972-08-12,7.9085,20.41,31.07
1972-08-13,4.6034,20.15,30.23
1972-08-14,4.2747,19.93,29.69
1972-08-15,0,19.8,30.84
1972-08-16,1.076,20.6,31.04
1972-08-17,0.4671,20.05,30.6
1972-08-18,3.2075,20.14,29.55
1972-08-19,0,19.63,29.32
1972-08-20,4.0822,19.74,28.71
1972-08-21,1.5479,20.05,30.13
1972-08-22,0,19.73,29.59
1972-08-23,3.7905,20,29.31
1972-08-24,0,19.6,30.23
1972-08-25,0,19.15,30.92
1972-08-26,0,19.61,31.4
1972-08-27,0,20.26,31.25
1972-08-28,4.2787,19.78,30.61
1972-08-29,0,19.61,30.84
1972-08-30,1.7921,18.76,31.62
1972-08-31,0.1076,18.96,31.88
1972-09-01,0,19.5,32.24
1972-09-02,0,20.15,32.14
1972-09-03,0,19.22,32.36
1972-09-04,0,18.84,32.45
1972-09-05,0,19.77,32.08
1972-09-06,0,20.93,32.92
1972-09-07,14.4911,20.39,33.17
1972-09-08,0.768,20.83,30.87
1972-09-09,15.2739,20.47,30.47
1972-09-10,2.1328,20.52,30.25
1972-09-11,0.2471,20.15,30.29
1972-09-12,0.895,20.13,30.08
1972-09-13,0.1645,20.33,30.18
1972-09-14,0,20.16,31.72
1972-09-15,0,20.35,31.34
1972-09-16,4.3235,21.34,31.13
1972-09-17,55.2341,20.02,31.74
1972-09-18,0,21.04,30.76
1972-09-19,18.5042,20.36,30.77
1972-09-20,2.4263,20.39,30.65
1972-09-21,15.4587,20.42,30.72
1972-09-22,12.3903,20.61,31.03
1972-09-23,0.9855,21.21,30.71
1972-09-24,0.8118,20.93,30.21
1972-09-25,0,20.87,30
1972-09-26,0,20.85,30.7
1972-09-27,0,22.12,31.36
1972-09-28,22.2685,19.9,30.9
1972-09-29,7.097,20.63,29.98
1972-09-30,1.4287,20.72,28.89
1972-10-01,10.7161,20.99,29.36
1972-10-02,21.9431,20.41,30.34
1972-10-03,3.6735,20.35,28.9
1972-10-04,1.369,20.53,29.19
1972-10-05,6.6832,20.94,27.32
1972-10-06,36.2692,20.77,28.02
1972-10-07,22.0878,20.92,29.03
1972-10-08,5.3045,20.74,29.09
1972-10-09,41.7525,20.97,30.03
1972-10-10,0.6433,21.11,29.46
1972-10-11,20.241,20.92,30.47
1972-10-12,0,21.87,30.67
1972-10-13,0,21.65,30.94
1972-10-14,0,21.91,30.27
1972-10-15,0,21.79,30.69
1972-10-16,0,21.43,30.72
1972-10-17,0,19.94,30.46
1972-10-18,0,19.27,30.51
1972-10-19,0,19.5,29.91
1972-10-20,0,20.83,29.44
1972-10-21,1.5214,20.52,30.29
1972-10-22,0.5143,20.77,29.53
1972-10-23,0,19.85,29.13
1972-10-24,0,20.37,29.71
1972-10-25,0,20.44,30.29
1972-10-26,0,20.91,29.72
1972-10-27,17.3239,19.82,28.19
1972-10-28,0.3207,20.25,25.91
1972-10-29,10.2139,20.56,27.49
